,source ID,destination ID,distance(Weight),travel_time,Line,capacity,source_name,source_lat,source_long,dies_name,des_lat,des_long
edge1,1,2,800,2,2,2000,Porte Dauphine,48°52′17″N,2°16′36″E,Victor Hugo,48°52′11″N,2°17′06″E
edge2,2,3,800,2,2,2000,Victor Hugo,48°52′11″N,2°17′06″E,Charles de Gaulle–Étoile,48°52′26″N,2°17′42″E
edge3,3,4,800,2,2,2000,Charles de Gaulle–Étoile,48°52′26″N,2°17′42″E,Ternes,48°52′40″N,2°17′55″E
edge4,4,5,800,2,2,2000,Ternes,48°52′40″N,2°17′55″E,Courcelles,48°52′45″N,2°18′15″E
edge5,5,6,800,2,2,2000,Courcelles,48°52′45″N,2°18′15″E,Monceau,48°52′48″N,2°18′30″E
edge6,6,7,800,2,2,2000,Monceau,48°52′48″N,2°18′30″E,Villiers,48°52′52″N,2°18′54″E
edge7,7,8,800,2,2,2000,Villiers,48°52′52″N,2°18′54″E,Rome,48°52′57″N,2°19′19″E
edge8,8,9,800,2,2,2000,Rome,48°52′57″N,2°19′19″E,Place de Clichy,48°53′02″N,2°19′39″E
edge9,9,10,800,2,2,2000,Place de Clichy,48°53′02″N,2°19′39″E,Blanche,48°53′00″N,2°20′01″E
edge10,10,11,800,2,2,2000,Blanche,48°53′00″N,2°20′01″E,Pigalle,48°52′56″N,2°20′15″E
edge11,11,12,800,2,2,2000,Pigalle,48°52′56″N,2°20′15″E,Anvers,48°52′59″N,2°20′41″E
edge12,12,13,800,2,2,2000,Anvers,48°52′59″N,2°20′41″E,Barbès–Rochechouart,48°53′01″N,2°21′02″E
edge13,13,14,800,2,2,2000,Barbès–Rochechouart,48°53′01″N,2°21′02″E,La Chapelle,48°53′04″N,2°21′37″E
edge14,14,15,800,2,2,2000,La Chapelle,48°53′04″N,2°21′37″E,Stalingrad,48°53′03″N,2°21′57″E
edge15,15,16,800,2,2,2000,Stalingrad,48°53′03″N,2°21′57″E,Jaurès,48°52′59″N,2°22′14″E
edge16,16,17,800,2,2,2000,Jaurès,48°52′59″N,2°22′14″E,Colonel Fabien,48°52′38″N,2°22′16″E
edge17,17,18,800,2,2,2000,Colonel Fabien,48°52′38″N,2°22′16″E,Belleville,48°52′19″N,2°22′37″E
edge18,18,19,800,2,2,2000,Belleville,48°52′19″N,2°22′37″E,Couronnes,48°52′10″N,2°22′47″E
edge19,20,21,800,2,2,2000,Couronnes,48°52′10″N,2°22′47″E,Ménilmontant,48°51′58″N,2°23′01″E
edge20,21,22,800,2,2,2000,Ménilmontant,48°51′58″N,2°23′01″E,Père Lachaise,48°51′47″N,2°23′15″E
edge21,22,23,800,2,2,2000,Père Lachaise,48°51′47″N,2°23′15″E,Philippe Auguste,48°51′29″N,2°23′27″E
edge22,23,24,800,2,2,2000,Philippe Auguste,48°51′29″N,2°23′27″E,Alexandre Dumas,48°51′21″N,2°23′41″E
edge23,24,25,800,2,2,2000,Alexandre Dumas,48°51′21″N,2°23′41″E,Avron,48°51′07″N,2°23′52″E
edge24,25,26,800,2,2,2000,Avron,48°51′07″N,2°23′52″E,Nation,48°50′54″N,2°23′45″E
