Geo Point,Geo Shape,codeunique,nom_long,nom_so_gar,nom_su_gar,id_ref_ZdC,nom_ZdC,id_ref_ZdA,nom_ZdA,idrefliga,idrefligc,res_com,mode_,train,rer,metro,tramway,val,tertrain,terrer,termetro,tertram,terval,exploitant,idf,principal,x,y
"48.68969201293991, 2.3834027864558514","{""coordinates"": [2.383402786455851, 48.68969201293991], ""type"": ""Point""}",151,Juvisy,,,478505,Juvisy,45739,Juvisy,A01840 / A01842,C01728,RER D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,1,654613.5017,6843459.5269
"48.8058407886765, 2.6191944124556525","{""coordinates"": [2.619194412455653, 48.8058407886765], ""type"": ""Point""}",9,Émerainville - Pontault-Combault,,,67897,Émerainville - Pontault-Combault,43074,Émerainville - Pontault-Combault,A01843,C01729,RER E,RER,1,1,0,0,0,0,0,0,0,0,SNCF,1,0,672031.7582,6856263.686
"48.64437362308389, 2.8251699343306536","{""coordinates"": [2.825169934330654, 48.64437362308389], ""type"": ""Point""}",38,Verneuil-l'Etang,,,62471,Verneuil -l'Étang,47187,Verneuil-l'Étang,A01844,C01730,TRAIN P,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,687119.8299,6838258.2317
"48.42736258324724, 2.1452465929031157","{""coordinates"": [2.145246592903116, 48.42736258324724], ""type"": ""Point""}",191,Saint-Martin-d'Etampes,,,59531,Saint-Martin d'Étampes,47115,Saint-Martin d'Étampes,A01840,C01727,RER C,RER,0,1,0,0,0,0,1,0,0,0,SNCF,1,1,636768.2154,6814462.2274
"48.533732833052646, 2.0087718152278464","{""coordinates"": [2.008771815227846, 48.533732833052646], ""type"": ""Point""}",202,Dourdan,,,59836,Dourdan,43121,Dourdan,A01840,C01727,RER C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,626821.1897,6826403.4096
"48.60555582544894, 2.4624564941360387","{""coordinates"": [2.462456494136039, 48.60555582544894], ""type"": ""Point""}",206,Essonnes-Robinson,,,422776,Essonnes Robinson,45759,Essonnes Robinson,A01842,C01728,RER D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,660368.7154,6834063.3879
"48.57059685505255, 2.4320985269125317","{""coordinates"": [2.432098526912532, 48.57059685505255], ""type"": ""Point""}",211,Mennecy,,,59984,Mennecy,47899,Mennecy,A01842,C01728,RER D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,658102.6109,6830192.7876
"48.885211217293325, 2.155903474623579","{""coordinates"": [2.155903474623579, 48.885211217293325], ""type"": ""Point""}",98,Châtou - Croissy,,,64483,Châtou - Croissy,53783,Châtou - Croissy,A01856,C01742,RER A,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,638100.6671,6865352.6049
"48.98663884378675, 2.059569496216214","{""coordinates"": [2.059569496216214, 48.98663884378675], ""type"": ""Point""}",126,Maurecourt,,,65827,Maurecourt,43160,Maurecourt,A01852,C01739,TRAIN J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,631170.9441,6876710.6959
"48.94679694113747, 2.2578974826622074","{""coordinates"": [2.257897482662207, 48.94679694113747], ""type"": ""Point""}",221,Argenteuil,,,65063,Argenteuil,47875,Argenteuil,A01852,C01739,TRAIN J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,1,645644.2234,6872125.5748
"48.96358968394726, 2.285930719574598","{""coordinates"": [2.285930719574598, 48.96358968394726], ""type"": ""Point""}",224,Saint-Gratien,,,65305,Saint-Gratien,43201,Saint-Gratien,A01840,C01727,RER C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,647714.3661,6873974.0035
"48.99028999544205, 2.1619066055921574","{""coordinates"": [2.161906605592157, 48.99028999544205], ""type"": ""Point""}",227,Herblay,,,65897,Herblay,47603,Herblay,A01852,C01739,TRAIN J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,638664.8937,6877032.3616
"48.972749117934015, 2.307137033449418","{""coordinates"": [2.307137033449418, 48.972749117934015], ""type"": ""Point""}",243,Enghien-les-Bains,,,65485,Enghien-les-Bains,43075,Enghien-les-Bains,A01849,C01737,TRAIN H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,649276.0335,6874978.7186
"48.97605425219654, 2.33852407064514","{""coordinates"": [2.33852407064514, 48.97605425219654], ""type"": ""Point""}",245,Deuil-Montmagny,,,65562,Deuil - Montmagny,473159,Deuil - Montmagny,A01849,C01737,TRAIN H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,651576.8784,6875326.5542
"48.98431596294512, 2.3534072485796305","{""coordinates"": [2.35340724857963, 48.98431596294512], ""type"": ""Point""}",246,Groslay,,,65749,Groslay,43133,Groslay,A01849,C01737,TRAIN H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,652673.8951,6876236.2646
"48.77480280976661, 2.006566871761875","{""coordinates"": [2.006566871761875, 48.77480280976661], ""type"": ""Point""}",81,Trappes,,,463850,Trappes,43209,Trappes,A01847 / A01855,C01736 / C01741,TRAIN N / TRAIN U,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,626995.593,6853204.4241
"48.743483984990334, 1.9210366000397376","{""coordinates"": [1.921036600039738, 48.743483984990334], ""type"": ""Point""}",83,Coignières,,,63369,Coignières,47932,Coignières,A01847,C01736,TRAIN N,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,620663.0266,6849805.0329
